date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year
2026-01-03,Senegal,Sudan,3.0,1.0,African Cup of Nations,Tangier,Morocco,True,2026
2026-01-03,Mali,Tunisia,1.0,1.0,African Cup of Nations,Casablanca,Morocco,True,2026
2026-01-04,Morocco,Tanzania,1.0,0.0,African Cup of Nations,Rabat,Morocco,False,2026
2026-01-04,South Africa,Cameroon,1.0,2.0,African Cup of Nations,Rabat,Morocco,True,2026
2026-01-05,Egypt,Benin,3.0,1.0,African Cup of Nations,Agadir,Morocco,True,2026
2026-01-05,Nigeria,Mozambique,4.0,0.0,African Cup of Nations,Fez,Morocco,True,2026
2026-01-06,Algeria,DR Congo,1.0,0.0,African Cup of Nations,Rabat,Morocco,True,2026
2026-01-06,Ivory Coast,Burkina Faso,3.0,0.0,African Cup of Nations,Marrakesh,Morocco,True,2026
2026-01-09,Mali,Senegal,0.0,1.0,African Cup of Nations,Tangier,Morocco,True,2026
2026-01-09,Morocco,Cameroon,2.0,0.0,African Cup of Nations,Rabat,Morocco,False,2026
2026-01-10,Algeria,Nigeria,0.0,2.0,African Cup of Nations,Marrakesh,Morocco,True,2026
2026-01-10,Egypt,Ivory Coast,3.0,2.0,African Cup of Nations,Agadir,Morocco,True,2026
2026-01-14,Senegal,Egypt,1.0,0.0,African Cup of Nations,Tangier,Morocco,True,2026
2026-01-14,Morocco,Nigeria,0.0,0.0,African Cup of Nations,Rabat,Morocco,False,2026
2026-01-17,Egypt,Nigeria,0.0,0.0,African Cup of Nations,Casablanca,Morocco,True,2026
2026-01-18,Morocco,Senegal,3.0,0.0,African Cup of Nations,Rabat,Morocco,False,2026
2026-01-18,Bolivia,Panama,1.0,1.0,Friendly,Tarija,Bolivia,False,2026
2026-01-18,Grenada,Jamaica,0.0,1.0,Friendly,St. George's,Grenada,False,2026
2026-01-22,Panama,Mexico,0.0,1.0,Friendly,Panama City,Panama,False,2026
2026-01-25,Bolivia,Mexico,0.0,1.0,Friendly,Santa Cruz,Bolivia,False,2026
2026-01-26,Uzbekistan,China PR,2.0,2.0,Friendly,Dubai,United Arab Emirates,True,2026
2026-02-25,Mexico,Iceland,4.0,0.0,Friendly,Querétaro,Mexico,False,2026
2026-03-15,Bolivia,Trinidad and Tobago,3.0,0.0,Friendly,Santa Cruz,Bolivia,False,2026
2026-03-25,Bermuda,DR Congo,0.0,2.0,Friendly,Zapopan,Mexico,True,2026
2026-03-25,Equatorial Guinea,Kyrgyzstan,1.0,0.0,Friendly,Antalya,Turkey,True,2026
2026-03-25,Kazakhstan,Namibia,2.0,0.0,FIFA Series,Astana,Kazakhstan,False,2026
2026-03-25,United States Virgin Islands,American Samoa,5.0,2.0,FIFA Series,Bayamón,Puerto Rico,True,2026
2026-03-25,Puerto Rico,Guam,4.0,0.0,FIFA Series,Bayamón,Puerto Rico,False,2026
2026-03-26,Brazil,France,1.0,2.0,Friendly,Foxborough,United States,True,2026
2026-03-26,Colombia,Croatia,1.0,2.0,Friendly,Orlando,United States,True,2026
2026-03-26,Cyprus,Belarus,0.0,1.0,Friendly,Nicosia,Cyprus,False,2026
2026-03-26,Georgia,Israel,2.0,2.0,Friendly,Tbilisi,Georgia,False,2026
2026-03-26,Moldova,Lithuania,0.0,2.0,Friendly,Chișinău,Moldova,False,2026
2026-03-26,Vietnam,Bangladesh,3.0,0.0,Friendly,Hanoi,Vietnam,False,2026
2026-03-26,New Caledonia,Jamaica,0.0,1.0,FIFA World Cup qualification,Zapopan,Mexico,True,2026
2026-03-26,Bolivia,Suriname,2.0,1.0,FIFA World Cup qualification,Guadalupe,Mexico,True,2026
2026-03-26,Italy,Northern Ireland,2.0,0.0,FIFA World Cup qualification,Bergamo,Italy,False,2026
2026-03-26,Wales,Bosnia and Herzegovina,1.0,1.0,FIFA World Cup qualification,Cardiff,Wales,False,2026
2026-03-26,Poland,Albania,2.0,1.0,FIFA World Cup qualification,Warsaw,Poland,False,2026
2026-03-26,Ukraine,Sweden,1.0,3.0,FIFA World Cup qualification,Valencia,Spain,True,2026
2026-03-26,Slovakia,Kosovo,3.0,4.0,FIFA World Cup qualification,Bratislava,Slovakia,False,2026
2026-03-26,Turkey,Romania,1.0,0.0,FIFA World Cup qualification,Istanbul,Turkey,False,2026
2026-03-26,Czech Republic,Republic of Ireland,2.0,2.0,FIFA World Cup qualification,Prague,Czech Republic,False,2026
2026-03-26,Denmark,North Macedonia,4.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,False,2026
2026-03-26,Aruba,Macau,4.0,1.0,FIFA Series,Kigali,Rwanda,True,2026
2026-03-26,Tanzania,Liechtenstein,0.0,1.0,FIFA Series,Kigali,Rwanda,True,2026
2026-03-26,Martinique,Cuba,2.0,2.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,2026
2026-03-26,Dominican Republic,El Salvador,2.0,2.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,False,2026
2026-03-26,Saint Martin,Barbados,3.0,1.0,CONCACAF Series,Rincon,Bonaire,True,2026
2026-03-26,Bonaire,Saint Vincent and the Grenadines,3.0,1.0,CONCACAF Series,Rincon,Bonaire,False,2026
2026-03-26,Bahamas,Anguilla,1.0,3.0,CONCACAF Series,George Town,Cayman Islands,True,2026
2026-03-26,Cayman Islands,British Virgin Islands,1.0,1.0,CONCACAF Series,George Town,Cayman Islands,False,2026
2026-03-27,Algeria,Guatemala,7.0,0.0,Friendly,Genoa,Switzerland,True,2026
2026-03-27,Argentina,Mauritania,2.0,1.0,Friendly,Buenos Aires,Argentina,False,2026
2026-03-27,Austria,Ghana,5.0,1.0,Friendly,Vienna,Austria,False,2026
2026-03-27,England,Uruguay,1.0,1.0,Friendly,London,England,False,2026
2026-03-27,Greece,Paraguay,0.0,1.0,Friendly,Athens,Greece,False,2026
2026-03-27,Guinea,Togo,2.0,2.0,"Morocco, Capital of African Football",Rabat,Morocco,True,2026
2026-03-27,Liberia,Benin,0.0,1.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,2026
2026-03-27,Libya,Niger,0.0,0.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,2026
