team,elo,p_qualify,p_reach_r16,p_reach_qf,p_reach_sf,p_reach_final,p_champion
Spain,2171.0,0.9833333333333333,0.634,0.39580952380952383,0.27076190476190476,0.1895238095238095,0.12276190476190477
Argentina,2113.0,0.9505714285714286,0.6175238095238095,0.42219047619047617,0.2780952380952381,0.17714285714285713,0.10876190476190477
France,2062.0,0.9053333333333333,0.5880952380952381,0.36904761904761907,0.22542857142857142,0.12714285714285714,0.06971428571428571
England,2042.0,0.9408571428571428,0.5781904761904761,0.34885714285714287,0.21142857142857144,0.12028571428571429,0.06647619047619048
Brazil,1979.0,0.9305714285714286,0.6348571428571429,0.37676190476190474,0.20723809523809525,0.1179047619047619,0.06438095238095239
Norway,1922.0,0.8797142857142857,0.5540952380952381,0.33371428571428574,0.18657142857142858,0.09333333333333334,0.052571428571428575
Portugal,1976.0,0.8845714285714286,0.5346666666666666,0.3039047619047619,0.1657142857142857,0.08971428571428572,0.046285714285714284
Colombia,1998.0,0.8804761904761905,0.5254285714285715,0.3007619047619048,0.15847619047619046,0.08142857142857143,0.04114285714285714
Germany,1910.0,0.9024761904761904,0.5235238095238095,0.2883809523809524,0.16380952380952382,0.0818095238095238,0.04057142857142857
Croatia,1933.0,0.8913333333333333,0.5064761904761905,0.2813333333333333,0.15466666666666667,0.08,0.03990476190476191
Czech Republic,1864.0,0.7846666666666666,0.5046666666666667,0.27514285714285713,0.14152380952380952,0.07123809523809524,0.03266666666666666
Netherlands,1959.0,0.9077142857142857,0.4804761904761905,0.24914285714285714,0.12209523809523809,0.056095238095238094,0.025523809523809525
Japan,1878.0,0.8081904761904762,0.44447619047619047,0.23333333333333334,0.1118095238095238,0.051904761904761905,0.024666666666666667
Ecuador,1933.0,0.8961904761904762,0.466,0.23257142857142857,0.11647619047619047,0.053047619047619045,0.023047619047619046
Morocco,1830.0,0.8488571428571429,0.47904761904761906,0.23466666666666666,0.10742857142857143,0.050761904761904765,0.021333333333333333
Switzerland,1897.0,0.9315238095238095,0.5057142857142857,0.24857142857142858,0.11228571428571428,0.04923809523809524,0.020666666666666667
Mexico,1835.0,0.8131428571428572,0.4658095238095238,0.21657142857142858,0.09790476190476191,0.04304761904761905,0.019333333333333334
Senegal,1803.0,0.728,0.3739047619047619,0.18657142857142858,0.08876190476190476,0.04076190476190476,0.01780952380952381
South Korea,1784.0,0.7712380952380953,0.4479047619047619,0.2200952380952381,0.10352380952380952,0.043333333333333335,0.017523809523809525
Uruguay,1890.0,0.8033333333333333,0.37752380952380954,0.182,0.08933333333333333,0.04,0.016761904761904763
Belgium,1849.0,0.8455238095238096,0.43447619047619046,0.20238095238095238,0.0881904761904762,0.04,0.016761904761904763
Turkey,1880.0,0.8000952380952381,0.3961904761904762,0.19514285714285715,0.09085714285714286,0.03780952380952381,0.01638095238095238
Paraguay,1833.0,0.634095238095238,0.3177142857142857,0.14971428571428572,0.06561904761904762,0.027714285714285716,0.013428571428571429
Austria,1818.0,0.6607619047619048,0.2985714285714286,0.14152380952380952,0.06371428571428571,0.027904761904761904,0.01180952380952381
Australia,1774.0,0.5806666666666667,0.28523809523809524,0.13123809523809524,0.060571428571428575,0.02676190476190476,0.009333333333333334
United States,1747.0,0.6811428571428572,0.304952380952381,0.13447619047619047,0.05771428571428571,0.021904761904761906,0.008
Canada,1802.0,0.892,0.39885714285714285,0.16942857142857143,0.06085714285714286,0.02085714285714286,0.007142857142857143
Panama,1742.0,0.5579047619047619,0.20476190476190476,0.09009523809523809,0.036571428571428574,0.014666666666666666,0.006190476190476191
Algeria,1726.0,0.5919047619047619,0.23457142857142857,0.10323809523809524,0.042095238095238095,0.01819047619047619,0.006190476190476191
Scotland,1790.0,0.6517142857142857,0.3158095238095238,0.12723809523809523,0.04961904761904762,0.01904761904761905,0.006
Iran,1754.0,0.7046666666666667,0.2977142857142857,0.11133333333333334,0.040285714285714286,0.016285714285714285,0.0058095238095238096
Uzbekistan,1735.0,0.5177142857142857,0.1921904761904762,0.0721904761904762,0.025714285714285714,0.00819047619047619,0.0029523809523809524
Ivory Coast,1607.0,0.5355238095238095,0.19038095238095237,0.07104761904761905,0.024285714285714285,0.008476190476190476,0.0026666666666666666
Tunisia,1641.0,0.4900952380952381,0.18266666666666667,0.0680952380952381,0.02438095238095238,0.00819047619047619,0.0026666666666666666
New Zealand,1586.0,0.6618095238095238,0.23752380952380953,0.07704761904761905,0.02142857142857143,0.007142857142857143,0.002476190476190476
Bosnia and Herzegovina,1571.0,0.5983809523809523,0.2057142857142857,0.07171428571428572,0.021619047619047618,0.006285714285714286,0.0020952380952380953
Sweden,1660.0,0.4684761904761905,0.1739047619047619,0.058761904761904765,0.019809523809523808,0.005904761904761905,0.0018095238095238095
Egypt,1591.0,0.48504761904761906,0.1761904761904762,0.06019047619047619,0.021619047619047618,0.006571428571428572,0.0017142857142857142
DR Congo,1616.0,0.38695238095238094,0.12895238095238096,0.04038095238095238,0.012095238095238095,0.004190476190476191,0.0010476190476190477
Saudi Arabia,1612.0,0.3434285714285714,0.10942857142857143,0.03780952380952381,0.011238095238095238,0.003142857142857143,0.0006666666666666666
South Africa,1531.0,0.3262857142857143,0.12085714285714286,0.03619047619047619,0.010952380952380953,0.0026666666666666666,0.0006666666666666666
Curaçao,1467.0,0.3779047619047619,0.10771428571428572,0.03371428571428572,0.008285714285714285,0.003142857142857143,0.0005714285714285715
Haiti,1542.0,0.25657142857142856,0.07533333333333334,0.021619047619047618,0.006571428571428572,0.0017142857142857142,0.0004761904761904762
Jordan,1687.0,0.4616190476190476,0.1061904761904762,0.027047619047619046,0.006380952380952381,0.0008571428571428571,0.00038095238095238096
Iraq,1582.0,0.19276190476190477,0.062,0.018952380952380953,0.004761904761904762,0.0013333333333333333,0.00038095238095238096
Cape Verde,1560.0,0.37523809523809526,0.09761904761904762,0.026285714285714287,0.006571428571428572,0.0018095238095238095,0.00028571428571428574
Qatar,1427.0,0.23695238095238094,0.05104761904761905,0.010857142857142857,0.0019047619047619048,0.0008571428571428571,9.523809523809524e-05
Ghana,1509.0,0.24266666666666667,0.05104761904761905,0.012857142857142857,0.0029523809523809524,0.0006666666666666666,9.523809523809524e-05
